{'game_name': 'olympics-running', 'algo': 'ppo', 'max_episodes': 1500, 'episode_length': 500, 'map': 3, 'shuffle_map': False, 'seed': 1, 'device': 'cpu', 'save_interval': 100, 'render': False, 'load_model': False, 'load_run': 2, 'load_episode': 900, 'run_dir': 'map3_use_step_dist_train_by_win', 'actor_hidden_layers': 1, 'critic_hidden_layers': 1, 'num_frame': 1, 'use_cnn': False, 'train_by_win': True}
{'class_literal': 'OlympicsRunning', 'n_player': 2, 'max_step': 500, 'game_name': 'running', 'is_obs_continuous': True, 'is_act_continuous': True, 'agent_nums': [1, 1], 'obs_type': ['vector', 'vector'], 'map_num': 11, 'use_map_dist': True, 'use_hit_wall': False}
Total agent number: 2
Agent control by the actor: 1
Game board width: 700
Game board height: 700
action dimension: [[Box(-100.0, 200.0, (1,), float32), Box(-30.0, 30.0, (1,), float32)], [Box(-100.0, 200.0, (1,), float32), Box(-30.0, 30.0, (1,), float32)]]
observation dimension: 625
store in /mnt/lustre/sjtu/home/ywg12/remote/code/OlympicsProject/rl_trainer/models/olympics-running/ppo/map3_use_step_dist_train_by_win
Use CNN: False
Episode:  1 controlled agent:  1 ; Episode Return:  -195.556349186104 ; win rate(controlled & opponent):  1.00 0.00 ; Trained episode: 0
Episode:  2 controlled agent:  1 ; Episode Return:  -435.1248916810277 ; win rate(controlled & opponent):  0.50 0.50 ; Trained episode: 1
Episode:  3 controlled agent:  1 ; Episode Return:  -105.3847763108502 ; win rate(controlled & opponent):  0.67 0.33 ; Trained episode: 1
Episode:  4 controlled agent:  1 ; Episode Return:  -803.4213562373096 ; win rate(controlled & opponent):  0.50 0.50 ; Trained episode: 2
Episode:  5 controlled agent:  1 ; Episode Return:  -874.4823227814101 ; win rate(controlled & opponent):  0.40 0.60 ; Trained episode: 2
Episode:  6 controlled agent:  1 ; Episode Return:  -490.1837661840735 ; win rate(controlled & opponent):  0.33 0.67 ; Trained episode: 2
Episode:  7 controlled agent:  1 ; Episode Return:  -75.72792206135783 ; win rate(controlled & opponent):  0.43 0.57 ; Trained episode: 2
Episode:  8 controlled agent:  1 ; Episode Return:  -826.4558441227157 ; win rate(controlled & opponent):  0.38 0.62 ; Trained episode: 3
Episode:  9 controlled agent:  1 ; Episode Return:  -212.28427124746185 ; win rate(controlled & opponent):  0.44 0.56 ; Trained episode: 3
Episode:  10 controlled agent:  1 ; Episode Return:  -542.3624817342642 ; win rate(controlled & opponent):  0.40 0.60 ; Trained episode: 4
Episode:  11 controlled agent:  1 ; Episode Return:  -1088.132034355965 ; win rate(controlled & opponent):  0.36 0.64 ; Trained episode: 4
