{'game_name': 'olympics-running', 'algo': 'ppo', 'max_episodes': 1500, 'episode_length': 500, 'map': 6, 'shuffle_map': False, 'seed': 1, 'device': 'cpu', 'save_interval': 10, 'render': False, 'load_model': False, 'load_run': 2, 'load_episode': 900, 'run_dir': 'map6_use_dist'}
Total agent number: 2
Agent control by the actor: 1
Game board width: 700
Game board height: 700
action dimension: [[Box(-100.0, 200.0, (1,), float32), Box(-30.0, 30.0, (1,), float32)], [Box(-100.0, 200.0, (1,), float32), Box(-30.0, 30.0, (1,), float32)]]
observation dimension: 625
store in /mnt/lustre/sjtu/home/ywg12/remote/code/OlympicsProject/rl_trainer/models/olympics-running/ppo/map6_use_dist
Episode:  1 controlled agent:  1 ; Episode Return:  -1134.967604155649 ; win rate(controlled & opponent):  1.00 0.00 ; Trained episode: 0
Episode:  2 controlled agent:  1 ; Episode Return:  -1450.8742417671983 ; win rate(controlled & opponent):  0.50 0.50 ; Trained episode: 1
Episode:  3 controlled agent:  1 ; Episode Return:  -1338.369624409202 ; win rate(controlled & opponent):  0.33 0.67 ; Trained episode: 1
Episode:  4 controlled agent:  1 ; Episode Return:  -1303.3351365237968 ; win rate(controlled & opponent):  0.25 0.75 ; Trained episode: 1
Episode:  5 controlled agent:  1 ; Episode Return:  -1443.7026688919445 ; win rate(controlled & opponent):  0.20 0.80 ; Trained episode: 1
Episode:  6 controlled agent:  1 ; Episode Return:  -1417.0508652763347 ; win rate(controlled & opponent):  0.17 0.83 ; Trained episode: 1
Episode:  7 controlled agent:  1 ; Episode Return:  -1083.0020920410543 ; win rate(controlled & opponent):  0.14 0.86 ; Trained episode: 1
Episode:  8 controlled agent:  1 ; Episode Return:  -1059.0660171779823 ; win rate(controlled & opponent):  0.25 0.75 ; Trained episode: 1
Episode:  9 controlled agent:  1 ; Episode Return:  -1417.7493500861697 ; win rate(controlled & opponent):  0.22 0.78 ; Trained episode: 2
Episode:  10 controlled agent:  1 ; Episode Return:  -1253.1219330882 ; win rate(controlled & opponent):  0.20 0.80 ; Trained episode: 2
Episode:  11 controlled agent:  1 ; Episode Return:  -1227.4406922210674 ; win rate(controlled & opponent):  0.18 0.82 ; Trained episode: 2
Episode:  12 controlled agent:  1 ; Episode Return:  -1417.9919907732892 ; win rate(controlled & opponent):  0.25 0.75 ; Trained episode: 2
Episode:  13 controlled agent:  1 ; Episode Return:  -929.1543289325506 ; win rate(controlled & opponent):  0.31 0.69 ; Trained episode: 3
Episode:  14 controlled agent:  1 ; Episode Return:  -1144.381817718022 ; win rate(controlled & opponent):  0.36 0.64 ; Trained episode: 4
Episode:  15 controlled agent:  1 ; Episode Return:  -1410.3889603929597 ; win rate(controlled & opponent):  0.33 0.67 ; Trained episode: 5
Episode:  16 controlled agent:  1 ; Episode Return:  -1433.8742417671983 ; win rate(controlled & opponent):  0.31 0.69 ; Trained episode: 5
Episode:  17 controlled agent:  1 ; Episode Return:  -1406.6072144624386 ; win rate(controlled & opponent):  0.29 0.71 ; Trained episode: 5
Episode:  18 controlled agent:  1 ; Episode Return:  -942.2619766708763 ; win rate(controlled & opponent):  0.28 0.72 ; Trained episode: 5
Episode:  19 controlled agent:  1 ; Episode Return:  -1147.0264786586945 ; win rate(controlled & opponent):  0.32 0.68 ; Trained episode: 5
Episode:  20 controlled agent:  1 ; Episode Return:  -1387.0458146424521 ; win rate(controlled & opponent):  0.30 0.70 ; Trained episode: 6
Episode:  21 controlled agent:  1 ; Episode Return:  -1423.9625535217665 ; win rate(controlled & opponent):  0.29 0.71 ; Trained episode: 6
Episode:  22 controlled agent:  1 ; Episode Return:  -1410.7371567773498 ; win rate(controlled & opponent):  0.27 0.73 ; Trained episode: 6
Episode:  23 controlled agent:  1 ; Episode Return:  -1187.8549057834407 ; win rate(controlled & opponent):  0.26 0.74 ; Trained episode: 6
Episode:  24 controlled agent:  1 ; Episode Return:  -1357.4528855298877 ; win rate(controlled & opponent):  0.25 0.75 ; Trained episode: 6
Episode:  25 controlled agent:  1 ; Episode Return:  -1439.004184082109 ; win rate(controlled & opponent):  0.24 0.76 ; Trained episode: 6
Episode:  26 controlled agent:  1 ; Episode Return:  -907.3919189857872 ; win rate(controlled & opponent):  0.27 0.73 ; Trained episode: 6
Episode:  27 controlled agent:  1 ; Episode Return:  -1406.666088965484 ; win rate(controlled & opponent):  0.26 0.74 ; Trained episode: 7
Episode:  28 controlled agent:  1 ; Episode Return:  -868.823376490863 ; win rate(controlled & opponent):  0.29 0.71 ; Trained episode: 7
Episode:  29 controlled agent:  1 ; Episode Return:  -1363.9919907732892 ; win rate(controlled & opponent):  0.31 0.69 ; Trained episode: 8
Episode:  30 controlled agent:  1 ; Episode Return:  -850.965512114594 ; win rate(controlled & opponent):  0.33 0.67 ; Trained episode: 9
Episode:  31 controlled agent:  1 ; Episode Return:  -1095.9015869776658 ; win rate(controlled & opponent):  0.32 0.68 ; Trained episode: 10
Episode:  32 controlled agent:  1 ; Episode Return:  -1352.8792924010809 ; win rate(controlled & opponent):  0.31 0.69 ; Trained episode: 10
Episode:  33 controlled agent:  1 ; Episode Return:  -997.823376490863 ; win rate(controlled & opponent):  0.33 0.67 ; Trained episode: 10
Episode:  34 controlled agent:  1 ; Episode Return:  -1379.317892581094 ; win rate(controlled & opponent):  0.32 0.68 ; Trained episode: 11
Episode:  35 controlled agent:  1 ; Episode Return:  -1229.9919907732892 ; win rate(controlled & opponent):  0.31 0.69 ; Trained episode: 11
Episode:  36 controlled agent:  1 ; Episode Return:  -1168.5411972844558 ; win rate(controlled & opponent):  0.33 0.67 ; Trained episode: 11
Episode:  37 controlled agent:  1 ; Episode Return:  -1247.7249634685295 ; win rate(controlled & opponent):  0.32 0.68 ; Trained episode: 12
Episode:  38 controlled agent:  1 ; Episode Return:  -896.4802307403554 ; win rate(controlled & opponent):  0.34 0.66 ; Trained episode: 12
Episode:  39 controlled agent:  1 ; Episode Return:  -1450.7026688919445 ; win rate(controlled & opponent):  0.33 0.67 ; Trained episode: 13
Episode:  40 controlled agent:  1 ; Episode Return:  -1373.4406922210674 ; win rate(controlled & opponent):  0.35 0.65 ; Trained episode: 13
Episode:  41 controlled agent:  1 ; Episode Return:  -1318.9554108468287 ; win rate(controlled & opponent):  0.34 0.66 ; Trained episode: 14
Episode:  42 controlled agent:  1 ; Episode Return:  -1389.1980515339483 ; win rate(controlled & opponent):  0.33 0.67 ; Trained episode: 14
Episode:  43 controlled agent:  1 ; Episode Return:  -1392.7249634685295 ; win rate(controlled & opponent):  0.33 0.67 ; Trained episode: 14
Episode:  44 controlled agent:  1 ; Episode Return:  -1080.5117600329331 ; win rate(controlled & opponent):  0.34 0.66 ; Trained episode: 14
Episode:  45 controlled agent:  1 ; Episode Return:  -1401.8204178980354 ; win rate(controlled & opponent):  0.33 0.67 ; Trained episode: 15
Episode:  46 controlled agent:  1 ; Episode Return:  -1232.2518754031112 ; win rate(controlled & opponent):  0.35 0.65 ; Trained episode: 15
Episode:  47 controlled agent:  1 ; Episode Return:  -1409.5777772109159 ; win rate(controlled & opponent):  0.34 0.66 ; Trained episode: 16
Episode:  48 controlled agent:  1 ; Episode Return:  -1388.2884553295712 ; win rate(controlled & opponent):  0.35 0.65 ; Trained episode: 16
Episode:  49 controlled agent:  1 ; Episode Return:  -976.1198410471452 ; win rate(controlled & opponent):  0.37 0.63 ; Trained episode: 17
Episode:  50 controlled agent:  1 ; Episode Return:  -1255.8498551495582 ; win rate(controlled & opponent):  0.36 0.64 ; Trained episode: 18
Episode:  51 controlled agent:  1 ; Episode Return:  -1216.47012947259 ; win rate(controlled & opponent):  0.37 0.63 ; Trained episode: 18
Episode:  52 controlled agent:  1 ; Episode Return:  -811.3797256769669 ; win rate(controlled & opponent):  0.38 0.62 ; Trained episode: 19
Episode:  53 controlled agent:  1 ; Episode Return:  -1252.8914857099007 ; win rate(controlled & opponent):  0.40 0.60 ; Trained episode: 20
Episode:  54 controlled agent:  1 ; Episode Return:  -1329.0092347159916 ; win rate(controlled & opponent):  0.39 0.61 ; Trained episode: 21
Episode:  55 controlled agent:  1 ; Episode Return:  -1156.3401871576793 ; win rate(controlled & opponent):  0.40 0.60 ; Trained episode: 21
Episode:  56 controlled agent:  1 ; Episode Return:  -1447.7026688919445 ; win rate(controlled & opponent):  0.39 0.61 ; Trained episode: 22
Episode:  57 controlled agent:  1 ; Episode Return:  -1139.1269837220825 ; win rate(controlled & opponent):  0.39 0.61 ; Trained episode: 22
Episode:  58 controlled agent:  1 ; Episode Return:  -1345.5189027078704 ; win rate(controlled & opponent):  0.38 0.62 ; Trained episode: 22
Episode:  59 controlled agent:  1 ; Episode Return:  -948.8233764908628 ; win rate(controlled & opponent):  0.37 0.63 ; Trained episode: 22
Episode:  60 controlled agent:  1 ; Episode Return:  -1214.1391770309028 ; win rate(controlled & opponent):  0.38 0.62 ; Trained episode: 22
Episode:  61 controlled agent:  1 ; Episode Return:  -1340.8498551495582 ; win rate(controlled & opponent):  0.38 0.62 ; Trained episode: 23
Episode:  62 controlled agent:  1 ; Episode Return:  -1352.406204335662 ; win rate(controlled & opponent):  0.37 0.63 ; Trained episode: 23
Episode:  63 controlled agent:  1 ; Episode Return:  -1357.1757569573629 ; win rate(controlled & opponent):  0.37 0.63 ; Trained episode: 23
Episode:  64 controlled agent:  1 ; Episode Return:  -1234.4528855298877 ; win rate(controlled & opponent):  0.36 0.64 ; Trained episode: 23
Episode:  65 controlled agent:  1 ; Episode Return:  -1326.2346314604083 ; win rate(controlled & opponent):  0.35 0.65 ; Trained episode: 23
Episode:  66 controlled agent:  1 ; Episode Return:  -1357.7787873376924 ; win rate(controlled & opponent):  0.35 0.65 ; Trained episode: 23
Episode:  67 controlled agent:  1 ; Episode Return:  -1130.9970414071718 ; win rate(controlled & opponent):  0.34 0.66 ; Trained episode: 23
Episode:  68 controlled agent:  1 ; Episode Return:  -1386.1980515339483 ; win rate(controlled & opponent):  0.34 0.66 ; Trained episode: 23
Episode:  69 controlled agent:  1 ; Episode Return:  -1203.4528855298877 ; win rate(controlled & opponent):  0.35 0.65 ; Trained episode: 23
Episode:  70 controlled agent:  1 ; Episode Return:  -1045.6000717875013 ; win rate(controlled & opponent):  0.36 0.64 ; Trained episode: 24
Episode:  71 controlled agent:  1 ; Episode Return:  -1071.5929291125635 ; win rate(controlled & opponent):  0.37 0.63 ; Trained episode: 25
Episode:  72 controlled agent:  1 ; Episode Return:  -1343.8204178980354 ; win rate(controlled & opponent):  0.38 0.62 ; Trained episode: 26
Episode:  73 controlled agent:  1 ; Episode Return:  -1090.8549057834407 ; win rate(controlled & opponent):  0.38 0.62 ; Trained episode: 27
Episode:  74 controlled agent:  1 ; Episode Return:  -1234.0803025278574 ; win rate(controlled & opponent):  0.38 0.62 ; Trained episode: 28
Episode:  75 controlled agent:  1 ; Episode Return:  -922.0416305603426 ; win rate(controlled & opponent):  0.39 0.61 ; Trained episode: 28
Episode:  76 controlled agent:  1 ; Episode Return:  -1254.3645737753195 ; win rate(controlled & opponent):  0.38 0.62 ; Trained episode: 29
Episode:  77 controlled agent:  1 ; Episode Return:  -1444.4183976444824 ; win rate(controlled & opponent):  0.38 0.62 ; Trained episode: 29
Episode:  78 controlled agent:  1 ; Episode Return:  -972.759451353935 ; win rate(controlled & opponent):  0.38 0.62 ; Trained episode: 29
Episode:  79 controlled agent:  1 ; Episode Return:  -1389.0458146424521 ; win rate(controlled & opponent):  0.38 0.62 ; Trained episode: 30
Episode:  80 controlled agent:  1 ; Episode Return:  -1117.2569260369937 ; win rate(controlled & opponent):  0.39 0.61 ; Trained episode: 30
Episode:  81 controlled agent:  1 ; Episode Return:  -1013.5878784786811 ; win rate(controlled & opponent):  0.40 0.60 ; Trained episode: 31
Episode:  82 controlled agent:  1 ; Episode Return:  -1416.2518754031112 ; win rate(controlled & opponent):  0.39 0.61 ; Trained episode: 32
