{'game_name': 'olympics-running', 'algo': 'ppo', 'max_episodes': 1500, 'episode_length': 500, 'map': 6, 'shuffle_map': False, 'seed': 1, 'device': 'cpu', 'save_interval': 100, 'render': False, 'load_model': False, 'load_run': 2, 'load_episode': 900, 'run_dir': 'map6_use_hit_wall'}
Total agent number: 2
Agent control by the actor: 1
Game board width: 700
Game board height: 700
action dimension: [[Box(-100.0, 200.0, (1,), float32), Box(-30.0, 30.0, (1,), float32)], [Box(-100.0, 200.0, (1,), float32), Box(-30.0, 30.0, (1,), float32)]]
observation dimension: 625
store in /mnt/lustre/sjtu/home/ywg12/remote/code/OlympicsProject/rl_trainer/models/olympics-running/ppo/map6_use_hit_wall
Episode:  1 controlled agent:  1 ; Episode Return:  -1211.2985565973363 ; win rate(controlled & opponent):  0.00 1.00 ; Trained episode: 0
Episode:  2 controlled agent:  1 ; Episode Return:  -1223.8914857099007 ; win rate(controlled & opponent):  0.50 0.50 ; Trained episode: 0
Episode:  3 controlled agent:  1 ; Episode Return:  -1408.2884553295712 ; win rate(controlled & opponent):  0.33 0.67 ; Trained episode: 1
Episode:  4 controlled agent:  1 ; Episode Return:  -1318.264068711931 ; win rate(controlled & opponent):  0.25 0.75 ; Trained episode: 1
Episode:  5 controlled agent:  1 ; Episode Return:  -1218.5706345359786 ; win rate(controlled & opponent):  0.40 0.60 ; Trained episode: 1
Episode:  6 controlled agent:  1 ; Episode Return:  -1137.2102448427681 ; win rate(controlled & opponent):  0.50 0.50 ; Trained episode: 2
Episode:  7 controlled agent:  1 ; Episode Return:  -1004.4284989122473 ; win rate(controlled & opponent):  0.57 0.43 ; Trained episode: 3
Episode:  8 controlled agent:  1 ; Episode Return:  -1033.551298552221 ; win rate(controlled & opponent):  0.62 0.38 ; Trained episode: 4
Episode:  9 controlled agent:  1 ; Episode Return:  -1217.1930009000657 ; win rate(controlled & opponent):  0.67 0.33 ; Trained episode: 5
Episode:  10 controlled agent:  1 ; Episode Return:  -1385.0975464705598 ; win rate(controlled & opponent):  0.60 0.40 ; Trained episode: 6
Episode:  11 controlled agent:  1 ; Episode Return:  -1079.9482681718914 ; win rate(controlled & opponent):  0.55 0.45 ; Trained episode: 6
Episode:  12 controlled agent:  1 ; Episode Return:  -978.859956417323 ; win rate(controlled & opponent):  0.58 0.42 ; Trained episode: 6
Episode:  13 controlled agent:  1 ; Episode Return:  -1386.1341263970203 ; win rate(controlled & opponent):  0.54 0.46 ; Trained episode: 7
Episode:  14 controlled agent:  1 ; Episode Return:  -1360.2762620207513 ; win rate(controlled & opponent):  0.57 0.43 ; Trained episode: 7
Episode:  15 controlled agent:  1 ; Episode Return:  -1428.2884553295712 ; win rate(controlled & opponent):  0.53 0.47 ; Trained episode: 8
Episode:  16 controlled agent:  1 ; Episode Return:  -1309.2935059634538 ; win rate(controlled & opponent):  0.56 0.44 ; Trained episode: 8
Episode:  17 controlled agent:  1 ; Episode Return:  -849.3086578651016 ; win rate(controlled & opponent):  0.59 0.41 ; Trained episode: 9
Episode:  18 controlled agent:  1 ; Episode Return:  -1272.3107499061566 ; win rate(controlled & opponent):  0.56 0.44 ; Trained episode: 10
Episode:  19 controlled agent:  1 ; Episode Return:  -946.521861300698 ; win rate(controlled & opponent):  0.58 0.42 ; Trained episode: 10
Episode:  20 controlled agent:  1 ; Episode Return:  -1402.3523804664992 ; win rate(controlled & opponent):  0.55 0.45 ; Trained episode: 11
Episode:  21 controlled agent:  1 ; Episode Return:  -1258.0975464705598 ; win rate(controlled & opponent):  0.52 0.48 ; Trained episode: 11
Episode:  22 controlled agent:  1 ; Episode Return:  -1043.1614716074878 ; win rate(controlled & opponent):  0.50 0.50 ; Trained episode: 11
Episode:  23 controlled agent:  1 ; Episode Return:  -1417.9087296526036 ; win rate(controlled & opponent):  0.48 0.52 ; Trained episode: 11
Episode:  24 controlled agent:  1 ; Episode Return:  -1187.6122650963212 ; win rate(controlled & opponent):  0.50 0.50 ; Trained episode: 11
Episode:  25 controlled agent:  1 ; Episode Return:  -732.142135623731 ; win rate(controlled & opponent):  0.52 0.48 ; Trained episode: 12
Episode:  26 controlled agent:  1 ; Episode Return:  -1117.3990616607248 ; win rate(controlled & opponent):  0.50 0.50 ; Trained episode: 13
Episode:  27 controlled agent:  1 ; Episode Return:  -1398.7026688919445 ; win rate(controlled & opponent):  0.48 0.52 ; Trained episode: 13
Episode:  28 controlled agent:  1 ; Episode Return:  -1338.4406922210674 ; win rate(controlled & opponent):  0.50 0.50 ; Trained episode: 13
Episode:  29 controlled agent:  1 ; Episode Return:  -978.3746750430846 ; win rate(controlled & opponent):  0.52 0.48 ; Trained episode: 14
Episode:  30 controlled agent:  1 ; Episode Return:  -1192.0924958366772 ; win rate(controlled & opponent):  0.53 0.47 ; Trained episode: 15
Episode:  31 controlled agent:  1 ; Episode Return:  -1439.4183976444824 ; win rate(controlled & opponent):  0.52 0.48 ; Trained episode: 16
Episode:  32 controlled agent:  1 ; Episode Return:  -1357.2762620207513 ; win rate(controlled & opponent):  0.50 0.50 ; Trained episode: 16
Episode:  33 controlled agent:  1 ; Episode Return:  -1331.9554108468287 ; win rate(controlled & opponent):  0.48 0.52 ; Trained episode: 16
Episode:  34 controlled agent:  1 ; Episode Return:  -1385.783837971575 ; win rate(controlled & opponent):  0.47 0.53 ; Trained episode: 16
Episode:  35 controlled agent:  1 ; Episode Return:  -1195.3523804664992 ; win rate(controlled & opponent):  0.49 0.51 ; Trained episode: 16
Episode:  36 controlled agent:  1 ; Episode Return:  -1355.5483399593932 ; win rate(controlled & opponent):  0.50 0.50 ; Trained episode: 17
Episode:  37 controlled agent:  1 ; Episode Return:  -1101.8010819142778 ; win rate(controlled & opponent):  0.51 0.49 ; Trained episode: 18
Episode:  38 controlled agent:  1 ; Episode Return:  -934.249783362056 ; win rate(controlled & opponent):  0.53 0.47 ; Trained episode: 19
Episode:  39 controlled agent:  1 ; Episode Return:  -1111.8376618407378 ; win rate(controlled & opponent):  0.54 0.46 ; Trained episode: 20
Episode:  40 controlled agent:  1 ; Episode Return:  -1399.7544007200522 ; win rate(controlled & opponent):  0.55 0.45 ; Trained episode: 21
Episode:  41 controlled agent:  1 ; Episode Return:  -954.521861300698 ; win rate(controlled & opponent):  0.56 0.44 ; Trained episode: 22
Episode:  42 controlled agent:  1 ; Episode Return:  -1125.369624409202 ; win rate(controlled & opponent):  0.57 0.43 ; Trained episode: 23
Episode:  43 controlled agent:  1 ; Episode Return:  -1301.369624409202 ; win rate(controlled & opponent):  0.58 0.42 ; Trained episode: 24
Episode:  44 controlled agent:  1 ; Episode Return:  -1197.7960312803953 ; win rate(controlled & opponent):  0.59 0.41 ; Trained episode: 25
Episode:  45 controlled agent:  1 ; Episode Return:  -928.989898732234 ; win rate(controlled & opponent):  0.60 0.40 ; Trained episode: 26
Episode:  46 controlled agent:  1 ; Episode Return:  -987.8427124746204 ; win rate(controlled & opponent):  0.61 0.39 ; Trained episode: 27
Episode:  47 controlled agent:  1 ; Episode Return:  -1095.3452377915619 ; win rate(controlled & opponent):  0.62 0.38 ; Trained episode: 28
Episode:  48 controlled agent:  1 ; Episode Return:  -895.9411254969542 ; win rate(controlled & opponent):  0.62 0.38 ; Trained episode: 29
Episode:  49 controlled agent:  1 ; Episode Return:  -1215.8082245892151 ; win rate(controlled & opponent):  0.63 0.37 ; Trained episode: 30
Episode:  50 controlled agent:  1 ; Episode Return:  -1305.1980515339483 ; win rate(controlled & opponent):  0.62 0.38 ; Trained episode: 31
Episode:  51 controlled agent:  1 ; Episode Return:  -1395.4945160902303 ; win rate(controlled & opponent):  0.61 0.39 ; Trained episode: 31
Episode:  52 controlled agent:  1 ; Episode Return:  -1393.0264786586945 ; win rate(controlled & opponent):  0.62 0.38 ; Trained episode: 31
